Callsign, AircraftType, Departure, Destination, SpawnTime, DespawnTime,Flight Time, Info, TA, RA, !BOOM!,,,,,,,,,
KLM861,A359,KFAR,HKJK,7965.48,19102.14,185.6,253,49,1,0,,,,,,,,,
TSC625,B764,KJAX,GOOY,7806.84,19108.92,188.4,0,0,0,0,,,,,,,,,
TSC562,B772,CYWG,OMSJ,8174.52,19201.92,183.8,0,0,0,0,,,,,,,,,
UAL72,B744,KPDX,LZIB,8681.4,19227,175.8,0,0,0,0,,,,,,,,,
DLH437,A359,CYUL,GMML,7740.42,19284.78,192.4,68,94,53,0,,,,,,,,,
AAL137,B789,KBNA,UKLL,8736.24,19305.3,176.2,8,33,1,0,,,,,,,,,
AFR750,A339,KBDL,FABL,7992.6,19338.12,189.1,13,15,0,0,,,,,,,,,
EIN356,B789,MMTJ,GQNN,8203.44,19356.72,185.9,0,1,0,0,,,,,,,,,
KLM756,B772,CYVR,FLKK,8115.6,19365.06,187.5,33,0,0,0,,,,,,,,,
UAE41,A332,CYLW,GMML,8235.18,19383.78,185.8,565,31,0,0,,,,,,,,,
BAW455,B78X,CYUL,LEBL,8462.16,19429.92,182.8,0,0,0,0,,,,,,,,,
AAL810,A359,KPBI,OEDF,8945.7,19449.12,175.1,11,17,2,0,,,,,,,,,
UAE888,A339,KCLT,LPPD,8998.08,19467.84,174.5,73,1,0,0,,,,,,,,,
KLM662,B789,KLIT,VECC,8788.68,19474.32,178.1,1,0,1,0,,,,,,,,,
DLH141,B77L,KBTV,GMML,8842.92,19474.38,177.2,0,0,1,0,,,,,,,,,
UAL650,B752,CYQM,UTSS,8320.98,19514.22,186.6,34,28,17,0,,,,,,,,,
SAS926,B789,CYQM,FIMP,9153.12,19540.44,173.1,5,16,20,0,,,,,,,,,
TSC696,B789,KPBI,OTBD,9102.66,19579.62,174.6,34,128,158,0,,,,,,,,,
TSC371,B748,KDLH,VOCI,9714.78,19593.72,164.6,0,0,0,0,,,,,,,,,
TSC787,B788,KFNT,LZIB,8143.62,19626.72,191.4,0,0,0,0,,,,,,,,,
UAE501,A333,KPHX,OEJN,8655.42,19626.72,182.9,0,0,0,0,,,,,,,,,
LOT605,A35K,CYOW,OLBA,8894.28,19646.04,179.2,23,387,13,0,,,,,,,,,
ETD872,B772,KLAS,DGAA,9375.9,19665.54,171.5,24,17,60,0,,,,,,,,,
TSC166,B77L,KPBI,EDDP,9472.02,19665.54,169.9,23,493,66,0,,,,,,,,,
BAW129,A343,KMSY,DNAA,9226.62,19672.02,174.1,70,447,179,0,,,,,,,,,
LOT324,B772,KBUF,FSIA,9178.32,19764.54,176.4,13,21,1,0,,,,,,,,,
SAS200,B772,CYQX,ORBI,8815.68,19788.78,182.9,82,193,166,0,,,,,,,,,
KLM847,B744,KSYR,LYBE,9877.26,19815.84,165.6,0,0,0,0,,,,,,,,,
UAL471,B772,KTUS,OJAI,8545.38,19854.12,188.5,75,232,122,0,,,,,,,,,
BAW42,B752,KLIT,EDDH,8517.54,19889.4,189.5,149,12,0,0,,,,,,,,,
LOT255,A333,CYMX,VCBI,9073.8,19921.92,180.8,119,3,0,0,,,,,,,,,
TAP333,B78X,KICT,LHBP,8601.3,19940.58,189,94,0,1,0,,,,,,,,,
IBE526,B78X,KPHL,UKLL,9252.78,19966.5,178.6,8,3,13,0,,,,,,,,,
UAL299,A359,MMUN,GQNN,11136.12,19980.72,147.4,79,245,9,0,,,,,,,,,
SAS739,B77W,KBDL,DTTJ,9592.38,19999.02,173.4,70,227,35,0,,,,,,,,,
IBE392,B77W,CYTZ,LFLL,8919.54,20038.14,185.3,6,26,0,0,,,,,,,,,
KLM982,A333,KBIS,OPIS,9352.5,20057.82,178.4,18,6,0,0,,,,,,,,,
AAL867,A332,KDLH,OKBK,9300.66,20116.5,180.3,255,161,0,0,,,,,,,,,
EIN363,B77L,CYQR,LBSF,9023.28,20222.34,186.7,22,102,21,0,,,,,,,,,
TAP7,B789,KLAS,EPWA,9569.28,20235.24,177.8,50,170,35,0,,,,,,,,,
SWR241,B789,KTPA,OTHH,10066.08,20255.64,169.8,51,155,7,0,,,,,,,,,
ETD490,A332,CYQR,LHBP,8291.16,20281.56,199.8,52,457,13,0,,,,,,,,,
IBE323,B77W,MMZP,UTSS,9640.08,20366.1,178.8,31,51,13,0,,,,,,,,,
THY661,A359,KFAR,OIII,9806.4,20405.52,176.7,95,8,1,0,,,,,,,,,
TSC887,A359,KBTV,OYSN,9398.34,20412.78,183.6,49,26,1,0,,,,,,,,,
IBE106,B77W,CYTZ,HAAB,10249.08,20424.12,169.6,0,1,0,0,,,,,,,,,
KLM405,A388,CYQX,OYAA,10041.78,20424.12,173,0,0,0,0,,,,,,,,,
BAW78,A359,KMKE,EDDB,10568.22,20437.32,164.5,12,9,6,0,,,,,,,,,
LOT735,B763,KSTL,VGHS,8867.94,20456.58,193.1,0,0,0,0,,,,,,,,,
DLH259,B772,KDSM,OEDF,9665.34,20496.72,180.5,119,0,0,0,,,,,,,,,
AFR876,B772,KSJC,VOHS,9049.5,20496.72,190.8,28,0,0,0,,,,,,,,,
DAL414,B788,KBIL,LWSK,8349.06,20503.2,202.6,72,294,7,0,,,,,,,,,
EIN81,A333,KFAR,GMMN,10086.54,20529.18,174,293,316,76,0,,,,,,,,,
DLH934,A359,KPHX,LWSK,9853.98,20529.18,177.9,17,0,1,0,,,,,,,,,
UAL722,A332,CYYC,LSZH,9782.82,20567.58,179.7,67,226,146,0,,,,,,,,,
TAP336,A35K,CYFB,DIAP,9275.16,20574.96,188.3,75,100,5,0,,,,,,,,,
SWR591,B788,CYQB,EDDP,9422.64,20646.66,187.1,239,244,78,0,,,,,,,,,
DLH472,A333,KIAD,DAKK,9948.54,20673.72,178.8,115,0,1,0,,,,,,,,,
KLM232,A332,KOKC,HAAB,9901.8,20673.78,179.5,164,702,74,0,,,,,,,,,
KLM672,B77L,KFAR,OPIS,9544.86,20692.38,185.8,100,146,0,0,,,,,,,,,
ETD751,B788,KMCO,LROP,9688.62,20699.88,183.5,160,310,116,0,,,,,,,,,
TAP515,A388,KTPA,LROP,10658.58,20739.72,168,1,0,0,0,,,,,,,,,
KLM15,A35K,CYQB,OTBD,10180.74,20745.12,176.1,26,482,51,0,,,,,,,,,
BAW632,A359,MMMX,LFPO,9497.4,20751.6,187.6,54,361,9,0,,,,,,,,,
UAE135,B789,KBWI,LPPD,10430.94,20758.14,172.1,24,393,49,0,,,,,,,,,
BAW424,A35K,MMZP,LIRF,10225.62,20763.72,175.6,106,567,116,0,,,,,,,,,
LOT920,B77L,KBWI,OIMM,10156.44,20830.26,177.9,39,100,95,0,,,,,,,,,
DLH971,A333,CYXX,LBSF,9736.2,20869.32,185.6,240,1,0,0,,,,,,,,,
AAL43,A359,CYHM,VOCI,9616.74,20869.32,187.5,45,111,145,0,,,,,,,,,
TSC935,A339,MMMY,GVAC,9125.4,20908.5,196.4,238,73,37,0,,,,,,,,,
AFR301,B788,KATL,OPLA,8972.94,21022.2,200.8,318,179,25,0,,,,,,,,,
VIR851,A339,CYFC,OIMM,10317.24,21039.84,178.7,225,163,47,0,,,,,,,,,
SAS464,B789,KGRR,UTAA,10111.68,21039.84,182.1,49,430,52,0,,,,,,,,,
TAP627,B772,KMHT,HBBA,15206.94,21050.1,97.4,0,0,0,0,,,,,,,,,
AFR678,B772,KFLL,UKLL,15917.46,21050.1,85.5,0,0,0,0,,,,,,,,,
IBE779,B788,MMTJ,EDDF,10202.46,21072.24,181.2,224,99,158,0,,,,,,,,,
DAL723,A332,CYQM,FLLS,9522.6,21079.74,192.6,283,919,64,0,,,,,,,,,
EIN326,B772,KSAN,LCLK,9970.8,21118.8,185.8,320,0,0,0,,,,,,,,,
AAL610,B77W,KDCA,EDDP,10363.02,21151.62,179.8,10,572,2,0,,,,,,,,,
IBE964,B77W,KBGR,EDDH,10819.2,21177.72,172.6,100,268,78,0,,,,,,,,,
EIN812,B789,KIAD,VILK,10544.94,21184.32,177.3,7,0,1,0,,,,,,,,,
AAL471,A332,CYXU,OPLA,9201.6,21184.32,199.7,234,250,4,0,,,,,,,,,
THY631,B788,KGEG,FIMP,9759.54,21184.38,190.4,273,585,248,0,,,,,,,,,
SWR460,B789,KDCA,OISS,9995.28,21197.88,186.7,41,3,1,0,,,,,,,,,
THY525,B772,KBIS,OTBD,10500.84,21211.32,178.5,30,0,0,0,,,,,,,,,
BAW573,A35K,KCLT,OKBK,10133.22,21217.62,184.7,235,768,88,0,,,,,,,,,
SAS232,B788,KBNA,LFPG,9324.66,21217.62,198.2,59,195,14,0,,,,,,,,,
SWR431,B744,KFLL,FLLS,10886.34,21229.8,172.4,0,0,0,0,,,,,,,,,
THY945,B788,KMSN,DNMM,9447,21255.78,196.8,336,221,129,0,,,,,,,,,
DLH108,B748,KGEG,OERK,10931.04,21255.78,172.1,44,0,0,0,,,,,,,,,
ETD418,A359,CYXX,HBBA,9830.52,21282.06,190.9,13,4,1,0,,,,,,,,,
TSC617,A333,KPBI,UKLL,9925.2,21315.66,189.8,0,0,0,0,,,,,,,,,
DAL431,B77W,KCHS,UTAA,10956.18,21354.06,173.3,182,192,7,0,,,,,,,,,
LOT526,B772,MMCS,UTTT,10476.54,21359.64,181.4,174,0,0,0,,,,,,,,,
TAP512,B788,KIAD,DNKN,10385.4,21367.98,183,0,1,0,0,,,,,,,,,
KLM511,B748,CYYT,VOMM,11596.98,21398.64,163.4,0,0,0,0,,,,,,,,,
SAS83,A388,MMZP,LHBP,10908.54,21412.98,175.1,0,0,0,0,,,,,,,,,
VIR7,B77W,KMHT,EPKK,10017.66,21419.22,190,54,43,2,0,,,,,,,,,
BAW223,B752,KSEA,LYBE,10272.36,21438.78,186.1,0,1,0,0,,,,,,,,,
TAP422,B764,CYQT,LFLL,10339.74,21485.22,185.8,0,0,0,0,,,,,,,,,
UAE306,B772,KATL,VOBL,10297.56,21583.5,188.1,352,0,0,0,,,,,,,,,
BAW355,B789,KLAS,OMSJ,11182.86,21616.26,173.9,61,102,1,0,,,,,,,,,
THY351,B77L,KBWI,OEDF,10636.2,21641.52,183.4,0,0,1,0,,,,,,,,,
KLM150,B78X,CYQM,DAKK,10704.42,21661.92,182.6,163,42,0,0,,,,,,,,,
IBE888,B788,CYOW,UTTT,10590.6,21741.06,185.8,3,4,6,0,,,,,,,,,
BAW721,B77W,KSAN,EPKK,10522.44,21778.38,187.6,131,108,0,0,,,,,,,,,
ETD215,B788,MMZP,EDDP,10682.04,21811.92,185.5,515,0,0,0,,,,,,,,,
