Callsign, AircraftType, Departure, Destination, SpawnTime, DespawnTime,Flight Time, Info, TA, RA, !BOOM!,,,,,,,,,
DAL62,B748,KATL,UUWW,9841.2,20216.64,172.9,0,0,0,0,,,,,,,,,
THY549,A339,CYHZ,UAII,8731.74,20216.64,191.4,0,0,0,0,,,,,,,,,
AFR989,A333,KCHS,ESSA,9670.14,20229.9,176,0,0,0,0,,,,,,,,,
TAP526,B772,MMCL,OTBD,8663.7,20247.54,193.1,0,0,0,0,,,,,,,,,
AFR70,B748,KCHS,OMAA,9560.64,20255.1,178.2,0,0,0,0,,,,,,,,,
AFR170,B789,KSTL,EKCH,10028.04,20268,170.7,0,0,0,0,,,,,,,,,
VIR683,B77W,MMTJ,LJLJ,9815.94,20281.08,174.4,0,0,0,0,,,,,,,,,
EIN822,B763,CYMX,LHBP,7773.3,20288.7,208.6,0,0,0,0,,,,,,,,,
DAL133,A359,KJFK,FACT,8630.04,20379.36,195.8,0,0,0,0,,,,,,,,,
AAL791,B763,CYYC,LZIB,8581.32,20438.76,197.6,0,0,0,0,,,,,,,,,
IBE957,A343,KDCA,VECC,9338.28,20472.36,185.6,0,0,0,0,,,,,,,,,
BAW648,B764,KLAX,EBLL,9583.08,20485.5,181.7,0,0,0,0,,,,,,,,,
BAW963,A359,KMCO,ZSPD,9598.98,20514.42,181.9,0,0,0,0,,,,,,,,,
BAW39,B78X,KMSY,OYAA,9381.12,20559.42,186.3,0,0,0,0,,,,,,,,,
TAP400,B772,KMSN,LWSK,9448.2,20588.1,185.7,0,0,0,0,,,,,,,,,
UAL332,B772,CYZF,UWKD,10141.14,20595.48,174.2,0,0,0,0,,,,,,,,,
LOT360,B788,KSFO,LOWW,9707.52,20619.72,181.9,0,0,0,0,,,,,,,,,
LOT442,B789,CYTZ,GMMN,9288.96,20639.4,189.2,0,0,0,0,,,,,,,,,
AAL86,A388,KRNO,LROP,9945.96,20639.4,178.2,0,0,0,0,,,,,,,,,
SWR791,A333,KDCA,EGSS,9502.56,20646,185.7,0,0,0,0,,,,,,,,,
IBE295,B789,CYXU,ULLI,9858.3,20660.94,180,0,0,0,0,,,,,,,,,
ETD597,B772,KSAN,EGMC,9643.86,20666.46,183.7,0,0,0,0,,,,,,,,,
VIR442,A339,CYEG,OMSJ,8606.64,20729.88,202.1,0,0,0,0,,,,,,,,,
