Callsign, AircraftType, Departure, Destination, SpawnTime, DespawnTime,Flight Time, Info, TA, RA, !BOOM!,,,,,,,,,
TSC142,A359,CYFB,EGSS,9329.58,19566.84,170.6,0,0,0,0,,,,,,,,,
VIR723,B772,KTPA,FSIA,7578.06,19573.32,199.9,0,0,0,0,,,,,,,,,
IBE324,A359,KDEN,ZSPD,8795.04,19593.9,180,0,0,0,0,,,,,,,,,
EIN62,B788,KPHX,EHAM,8055.96,19659.42,193.4,0,0,0,0,,,,,,,,,
AFR739,B789,KBUF,HEGN,8319.54,19665.9,189.1,0,0,0,0,,,,,,,,,
EIN538,A333,KFNT,EGPH,8920.26,19712.7,179.9,0,0,0,0,,,,,,,,,
TAP549,A359,KMSY,ORER,7963.62,19713.6,195.8,0,0,0,0,,,,,,,,,
TAP496,A333,KRNO,FACT,7712.94,19838.1,202.1,0,0,0,0,,,,,,,,,
UAE996,A333,KIAD,OYAA,8144.64,19851.3,195.1,0,0,0,0,,,,,,,,,
THY684,B789,CYYR,EGMC,9027.84,19939.14,181.9,0,0,0,0,,,,,,,,,
SAS328,B772,MMMX,EFTU,9496.14,19944.84,174.1,0,0,0,0,,,,,,,,,
UAE61,A332,KPHL,EKCH,9275.04,19944.84,177.8,0,0,0,0,,,,,,,,,
DLH830,A333,KSFO,EGMC,8867.88,20010.24,185.7,0,0,0,0,,,,,,,,,
AFR862,B789,KDLH,UWKD,9854.7,20088.84,170.6,0,0,0,0,,,,,,,,,
THY350,A35K,KLAS,EDDH,8971.56,20102.7,185.5,0,0,0,0,,,,,,,,,
UAE766,B772,KBWI,LFPG,8115.24,20108.58,199.9,0,0,0,0,,,,,,,,,
DAL309,A339,KFNT,EPKK,8658.06,20141.88,191.4,0,0,0,0,,,,,,,,,
DLH558,B748,KSMF,LFPO,9250.74,20155.74,181.8,0,0,0,0,,,,,,,,,
EIN882,B789,KPDX,OERK,8819.34,20168.94,189.2,0,0,0,0,,,,,,,,,
UAE238,B789,KTPA,UUWW,9739.98,20202.48,174.4,0,0,0,0,,,,,,,,,
DLH207,B772,KIAD,EINN,9076.14,20214.66,185.6,0,0,0,0,,,,,,,,,
THY585,B789,KLAS,EDDM,9427.98,20227.74,180,0,0,0,0,,,,,,,,,
BAW809,B788,KSYR,LFLL,8850.24,20227.8,189.6,0,0,0,0,,,,,,,,,
AAL412,B744,KTUS,OIMM,8948.22,20240.88,188.2,0,0,0,0,,,,,,,,,
VIR386,B764,MMUN,EDDL,8412.18,20267.16,197.6,0,0,0,0,,,,,,,,,
TAP963,B789,KPHL,LFPG,8600.04,20352.18,195.9,0,0,0,0,,,,,,,,,
UAE154,A388,CYQX,LZIB,10499.52,20360.4,164.3,0,0,0,0,,,,,,,,,
DAL244,A388,KGRR,LZIB,10180.44,20360.4,169.7,0,0,0,0,,,,,,,,,
IBE413,A333,KATL,ZBAA,9568.92,20366.1,180,0,0,0,0,,,,,,,,,
DAL334,B78X,MMGL,UKBB,9000.48,20395.14,189.9,0,0,0,0,,,,,,,,,
KLM634,B772,CYYG,OTHH,9099.72,20464.62,189.4,0,0,0,0,,,,,,,,,
TAP740,A333,KSFO,RKSS,9901.38,20464.68,176.1,0,0,0,0,,,,,,,,,
BAW893,B744,KGRR,LOWW,9806.4,20503.86,178.3,0,0,0,0,,,,,,,,,
IBE859,A359,CYQX,LJLJ,9594.18,20503.92,181.8,0,0,0,0,,,,,,,,,
DAL553,A35K,KBWI,VOBL,9448.5,20582.7,185.6,0,0,0,0,,,,,,,,,
UAE910,A346,CYYZ,RJGG,10204.68,20653.44,174.1,0,0,0,0,,,,,,,,,
BAW733,B772,KBUF,EGBB,9548.28,20687.28,185.7,0,0,0,0,,,,,,,,,
TSC135,B789,KDLH,RJTT,10226.16,20693.82,174.5,0,0,0,0,,,,,,,,,
VIR605,B77W,KCLT,UUDD,10477.02,20714.16,170.6,0,0,0,0,,,,,,,,,
TAP819,B788,KICT,VOBL,8896.98,20725.38,197.1,0,0,0,0,,,,,,,,,
DLH659,A332,KSEA,EDDF,9473.64,20733.78,187.7,2,0,0,0,,,,,,,,,
DLH740,A388,MMMX,GOOY,9690.42,20765.88,184.6,0,0,0,0,,,,,,,,,
AAL711,B763,CYSJ,USSS,9619.38,20765.88,185.8,0,0,0,0,,,,,,,,,
SWR107,B752,CYTZ,UTTT,9399.9,20778.9,189.7,1,0,0,0,,,,,,,,,
TAP5,B748,KSEA,UHWW,10296.18,20778.96,174.7,0,0,0,0,,,,,,,,,
DAL964,A332,CYHM,EINN,9227.4,20833.38,193.4,0,0,0,0,,,,,,,,,
THY165,B763,KSJC,UWKD,9948.96,20852.7,181.7,0,0,0,0,,,,,,,,,
IBE578,A339,CYHZ,LSZH,10063.86,20859.24,179.9,0,0,0,0,,,,,,,,,
UAL924,B789,KBTV,HKJK,9131.28,20880.78,195.8,0,0,0,0,,,,,,,,,
LOT222,B744,CYTZ,OEJN,9979.56,20880.84,181.7,0,0,0,0,,,,,,,,,
EIN244,B764,CYYR,EGGW,9307.74,20933.28,193.8,0,0,0,0,,,,,,,,,
TSC692,B788,KMCI,LIMC,8690.04,20939.82,204.2,0,0,0,0,,,,,,,,,
EIN392,B78X,KCHS,GMMN,9151.74,20953.86,196.7,0,0,0,0,,,,,,,,,
THY863,B789,KDEN,EGBB,10161.78,20960.4,180,0,0,0,0,,,,,,,,,
KLM829,B772,CYHZ,EGBB,10275.6,20960.4,178.1,0,0,0,0,,,,,,,,,
AFR610,B77L,KBIL,EGTE,10091.76,21005.16,181.9,0,0,0,0,,,,,,,,,
SAS957,B772,CYYR,EDDM,9641.82,21005.22,189.4,0,0,0,0,,,,,,,,,
UAE457,B764,KBIL,OTHH,8526.18,21044.46,208.6,0,0,0,0,,,,,,,,,
UAE554,B77L,CYYT,EHAM,9711.96,21057.6,189.1,0,0,0,0,,,,,,,,,
TSC570,B788,CYHM,UNNT,10409.94,21083.94,177.9,0,0,0,0,,,,,,,,,
LOT451,A388,CYXE,LBWN,10821.18,21104.46,171.4,0,0,0,0,,,,,,,,,
LOT360,A388,KDLH,UNNT,10931.04,21110.28,169.7,1,0,0,0,,,,,,,,,
EIN488,B789,MMUN,EDDF,10017,21148.38,185.5,0,0,0,0,,,,,,,,,
ETD603,B772,CYHZ,UWKD,10134.66,21162.48,183.8,0,0,0,0,,,,,,,,,
TAP208,B789,MMMY,EGAA,10705.14,21168.96,174.4,0,0,0,0,,,,,,,,,
UAE864,B748,CYFB,USSS,11136.54,21189.42,167.5,0,0,0,0,,,,,,,,,
DLH752,B772,KBUF,UHWW,10752.18,21203.4,174.2,0,0,0,0,,,,,,,,,
TAP175,B788,KSJC,LHBP,9382.32,21215.58,197.2,0,0,0,0,,,,,,,,,
UAL494,A332,CYOW,EGFF,9878.94,21254.58,189.6,0,0,0,0,,,,,,,,,
UAE433,A359,KLGA,UUEE,11022.78,21262.14,170.7,0,0,0,0,,,,,,,,,
UAL184,B763,MMCS,ESSA,10432.38,21335.16,181.7,0,0,0,0,,,,,,,,,
BAW331,B772,KATL,UAII,9759.66,21342.66,193.1,0,0,0,0,,,,,,,,,
UAE225,A332,CYQR,RJGG,10115.16,21376.2,187.7,0,0,0,0,,,,,,,,,
AAL171,A339,CYYJ,RJAA,10598.58,21395.82,180,0,0,0,0,,,,,,,,,
DLH728,A332,CYQM,OMAA,9177.96,21429.84,204.2,0,0,0,0,,,,,,,,,
KLM958,B752,KBIS,EDDM,9830.64,21435.42,193.4,0,0,0,0,,,,,,,,,
UAE979,A388,CYYR,VOMM,10363.32,21435.42,184.5,0,0,0,0,,,,,,,,,
UAE771,B789,KBNA,URSS,10681.8,21482.16,180,1,0,0,0,,,,,,,,,
TSC109,A332,CYUL,RJAA,10888.98,21559.5,177.8,0,0,0,0,,,,,,,,,
DLH258,B77W,KBIL,LIMC,10660.38,21573.42,181.9,1,0,0,0,,,,,,,,,
SAS224,B77W,KDEN,EGGW,10464,21593.04,185.5,0,0,0,0,,,,,,,,,
AAL165,B764,CYQR,EBBR,9520.26,21606.24,201.4,0,0,0,0,,,,,,,,,
TAP637,B772,KSTL,LBSF,10248.54,21614.04,189.4,0,0,0,0,,,,,,,,,
KLM253,A35K,KDEN,EGAA,11158.92,21627.18,174.5,0,0,0,0,,,,,,,,,
TAP49,A333,KBNA,LOWW,9923.7,21633.54,195.2,0,0,0,0,,,,,,,,,
SAS386,B764,MMCL,LEBL,10040.52,21666.24,193.8,0,0,0,0,,,,,,,,,
DLH220,B78X,CYQM,EICM,10728.6,21686.7,182.6,0,0,0,0,,,,,,,,,
SWR737,A359,CYLW,EDDP,10339.38,21686.76,189.1,0,0,0,0,,,,,,,,,
EIN520,B789,KJAX,RJBB,11480.22,21720.3,170.7,0,0,0,0,,,,,,,,,
LOT650,B772,KSYR,ZUUU,11275.62,21725.82,174.2,0,0,0,0,,,,,,,,,
SAS645,B748,KSMF,UTSB,11307.42,21791.16,174.7,0,0,0,0,,,,,,,,,
TAP324,B744,KSTL,EGMC,11456.76,21838.56,173,0,0,0,0,,,,,,,,,
SWR964,A339,CYUL,OMAA,9785.7,21910.62,202.1,0,0,0,0,,,,,,,,,
LOT961,B772,KDLH,EGLL,10910.46,21936.18,183.8,0,0,0,0,,,,,,,,,
AAL234,B748,KPBI,UUDD,11926.86,21982.68,167.6,0,0,0,0,,,,,,,,,
VIR637,A332,KLIT,EDDB,10613.52,21989.28,189.6,0,0,0,0,,,,,,,,,
THY923,B788,KJFK,LOWW,11117.04,22029.36,181.9,0,0,0,0,,,,,,,,,
UAE17,A35K,CYVR,EDDL,11229.18,22029.36,180,0,0,0,0,,,,,,,,,
SAS900,A332,MMMY,EPKK,10783.98,22042.44,187.6,0,0,0,0,,,,,,,,,
SWR960,A339,KIAD,VOCI,10570.68,22054.44,191.4,0,0,0,0,,,,,,,,,
SAS234,B788,KPDX,EGMC,11388.72,22061.88,177.9,0,0,0,0,,,,,,,,,
