Callsign, AircraftType, Departure, Destination, SpawnTime, DespawnTime,Flight Time, Info, TA, RA, !BOOM!,,,,,,,,,
SAS460,B77W,VOMM,MMPR,37277.04,38248.86,16.2,0,0,1,0,,,,,,,,,
TSC647,B789,LFPO,MMZP,37383.72,38269.38,14.8,0,0,1,0,,,,,,,,,
TSC7,B77W,ZUUU,KMSY,37450.92,38379.3,15.5,1,1,0,0,,,,,,,,,
IBE597,B77L,LTFM,KCLT,37312.74,38393.28,18,0,1,0,0,,,,,,,,,
BAW164,B77W,LIMC,MKJS,38215.98,38524.32,5.1,8,1,0,0,,,,,,,,,
ETD690,A388,EDDF,KPHL,28150.32,38631.72,174.7,0,0,0,0,,,,,,,,,
SAS153,B789,LIPZ,KLGA,38438.22,38701.98,4.4,0,1,0,0,,,,,,,,,
ETD215,B752,LFMN,KJAX,37169.88,38701.98,25.5,0,0,0,0,,,,,,,,,
THY925,B788,LSZH,TTPP,37061.52,38701.98,27.3,0,0,0,0,,,,,,,,,
UAE387,A359,RKSI,TJSJ,38531.52,38702.88,2.9,0,1,0,0,,,,,,,,,
EIN739,B77W,RKSI,KSYR,27907.98,39042.78,185.6,1,0,0,0,,,,,,,,,
UAE714,A333,OMDB,KDCA,37205.04,39063.3,31,1,0,0,0,,,,,,,,,
THY85,B788,LIMC,MMZP,37346.34,39063.3,28.6,4,1,0,0,,,,,,,,,
BAW34,B788,ZSPD,MMCS,27750.42,39063.3,188.5,1,0,0,0,,,,,,,,,
DAL518,B788,LSGG,KDCA,36950.52,39175.56,37.1,0,0,0,0,,,,,,,,,
VIR23,A332,VTBS,MMUN,37133.46,39187.92,34.2,0,0,1,0,,,,,,,,,
LOT741,B77W,VHHH,MMPR,28971.3,39479.52,175.1,0,0,0,0,,,,,,,,,
TAP200,B772,EGLL,KTPA,28546.8,39595.92,184.2,0,0,0,0,,,,,,,,,
DLH12,A339,ZSPD,KCHS,34278.78,39701.64,90.4,0,2,0,0,,,,,,,,,
BAW129,B763,VOMM,MMAS,28417.92,39701.7,188.1,0,0,0,0,,,,,,,,,
UAL200,A332,EDDL,MMTJ,38375.52,39708.12,22.2,3,0,0,0,,,,,,,,,
SWR639,A333,WIII,KJFK,38562.6,39714.78,19.2,0,0,0,0,,,,,,,,,
SAS644,A339,WIII,KSYR,39285.9,39714.78,7.1,0,0,0,0,,,,,,,,,
TSC557,B788,EDDM,CYYT,39228.84,39714.78,8.1,0,0,0,0,,,,,,,,,
ETD604,B789,EDDM,TJSJ,34545.18,39721.32,86.3,0,0,0,0,,,,,,,,,
AAL365,B789,VTBS,MKJS,39018.6,39721.38,11.7,0,0,0,0,,,,,,,,,
IBE372,B789,LSGG,MMMY,38808.3,39721.38,15.2,0,1,0,0,,,,,,,,,
EIN627,A35K,EGSS,KJAX,39139.38,39753.96,10.2,0,0,1,0,,,,,,,,,
BAW220,A359,EGCC,KCLT,38929.14,39768.12,14,0,0,1,0,,,,,,,,,
DAL108,B77W,RJAA,KMIA,34217.88,39768.12,92.5,0,0,1,0,,,,,,,,,
DLH458,A333,VECC,CYYT,39689.58,39930.9,4,4,1,0,0,,,,,,,,,
SAS87,A333,LEPA,KTPA,39631.44,39942.12,5.2,6,3,0,0,,,,,,,,,
EIN762,A339,WMKK,KFLL,37724.46,40047.3,38.7,0,0,0,0,,,,,,,,,
VIR384,A359,EGLL,KPHL,35137.62,40061.22,82.1,0,0,0,0,,,,,,,,,
AFR826,A333,LSZH,KCHS,37656.18,40061.22,40.1,1,0,0,0,,,,,,,,,
UAL691,A339,EGKK,KMIA,37521.72,40061.22,42.3,0,0,0,0,,,,,,,,,
AAL759,A359,VECC,KSYR,35038.2,40061.22,83.7,0,0,0,0,,,,,,,,,
ETD950,B788,LTFJ,MDPC,37891.14,40068.6,36.3,16,1,0,0,,,,,,,,,
TAP525,A359,EDDM,KALB,28778.28,40086.36,188.5,0,0,0,0,,,,,,,,,
KLM448,A339,EDDH,KJAX,36380.4,40151.58,62.9,0,0,0,0,,,,,,,,,
UAE900,B788,VOBL,MMMY,36614.64,40162.56,59.1,0,1,0,0,,,,,,,,,
AAL579,A333,RJGG,MMPR,29584.02,40289.88,178.4,0,0,0,0,,,,,,,,,
DAL775,A359,EGKK,KSYR,29281.08,40334.46,184.2,0,0,0,0,,,,,,,,,
SAS988,A359,RKSI,KTPA,35848.02,40334.46,74.8,9,1,0,0,,,,,,,,,
THY828,B789,OERK,KALB,35722.32,40334.46,76.9,24,1,0,0,,,,,,,,,
AAL236,B789,LFLL,KSYR,29498.82,40519.8,183.7,0,0,0,0,,,,,,,,,
AFR382,B788,OMDB,MTPP,40219.26,40564.5,5.8,13,3,0,0,,,,,,,,,
DLH762,B788,LEBL,MMMY,40273.32,40564.5,4.9,7,1,0,0,,,,,,,,,
ETD143,B77W,EGPH,KBWI,38959.74,40589.58,27.2,0,0,2,0,,,,,,,,,
SAS178,A359,EGPH,KFLL,38839.32,40611,29.5,0,0,1,0,,,,,,,,,
TSC345,A333,EDDF,KPHL,29730.54,40623.18,181.5,1,0,0,0,,,,,,,,,
SWR78,B789,RKSS,KROC,29923.74,40786.98,181.1,0,0,0,0,,,,,,,,,
VIR52,B77W,UUDD,MKJP,36579.18,40884.96,71.8,3,1,0,0,,,,,,,,,
