Callsign, AircraftType, Departure, Destination, SpawnTime, DespawnTime,Flight Times, Info, TA, RA, !BOOM!,,,,,,,,,
ETD389,B789,CYFB,OIMM,7802.64,18735.42,182.2,84,104,9,0,,,,,,,,,
ETD55,B788,KJAX,EBBR,7374.78,18754.14,189.7,9,1,0,0,,,,,,,,,
SWR288,B744,KBIS,LKPR,8753.16,18802.5,167.5,137,0,0,0,,,,,,,,,
TAP64,A333,KOAK,ORER,7070.52,18809.88,195.7,73,192,63,0,,,,,,,,,
UAE206,B748,KPHL,OERK,8800.62,18888.48,168.1,44,0,0,0,,,,,,,,,
EIN32,A35K,CYXY,OIII,8505.36,18903.42,173.3,144,396,35,0,,,,,,,,,
KLM486,B77W,KFAR,EDDL,7920.3,18934.2,183.6,31,0,0,0,,,,,,,,,
AAL645,A343,KDSM,OIKB,8729.1,18961.38,170.5,167,610,53,0,,,,,,,,,
BAW619,B77W,CYFB,UTSB,8220.36,18975.3,179.2,26,267,5,0,,,,,,,,,
ETD216,B789,KLAX,EDDL,7714.38,18980.22,187.8,203,258,8,0,,,,,,,,,
UAL505,B788,KBNA,OISS,7239.54,19002.36,196,234,10,60,0,,,,,,,,,
SWR110,A333,KSFO,OMAA,7533.24,19029.54,191.6,0,0,0,0,,,,,,,,,
UAL146,B77W,KSMF,LFPG,8556.54,19029.66,174.6,214,253,42,0,,,,,,,,,
BAW869,B77W,KLAX,VIDP,7405.68,19074.24,194.5,192,1,1,0,,,,,,,,,
AFR80,B772,KSTL,HAAB,7273.26,19080.9,196.8,34,0,0,0,,,,,,,,,
DAL890,B77W,KMCO,EDDF,8631.18,19107.18,174.6,29,3,0,0,,,,,,,,,
AAL350,B789,KATL,VOMM,8353.56,19114.68,179.4,60,338,169,0,,,,,,,,,
TSC450,B78X,CYUL,UKLL,8655.3,19126.98,174.5,97,0,0,0,,,,,,,,,
AFR19,A359,KSJC,DAOR,8944.38,19148.16,170.1,39,46,110,0,,,,,,,,,
TSC588,B748,KOKC,DAAG,8872.56,19211.88,172.3,0,0,0,0,,,,,,,,,
SWR548,B772,KATL,OIMM,7892.1,19238.94,189.1,94,0,0,0,,,,,,,,,
UAE765,A339,MMUN,LPPT,7743.24,19238.94,191.6,143,57,875,0,,,,,,,,,
VIR872,A332,CYXE,LIRF,8378.58,19311.48,182.2,52,125,159,0,,,,,,,,,
THY492,A332,CYYC,OPIS,8194.2,19325.52,185.5,15,1,184,0,,,,,,,,,
THY130,B752,MMUN,EDDH,8326.44,19332.06,183.4,47,75,2,0,,,,,,,,,
LOT338,A332,KSFO,LFPO,7831.56,19346.28,191.9,292,18,546,0,,,,,,,,,
DAL95,A388,KFNT,FBSK,9154.62,19360.08,170.1,102,30,0,0,,,,,,,,,
BAW832,A388,CYYR,EDDH,8776.32,19365.72,176.5,153,1,0,0,,,,,,,,,
IBE749,B748,KJAX,FABL,9015,19439.52,173.7,82,101,86,0,,,,,,,,,
BAW194,A339,KSYR,OIKB,8453.88,19445.94,183.2,0,0,0,0,,,,,,,,,
AAL965,B77W,CYYT,LBSF,8967.66,19446,174.6,4,6,17,0,,,,,,,,,
THY830,A332,KGEG,VOHS,7974.48,19473.06,191.6,0,0,0,0,,,,,,,,,
EIN905,B772,CYQM,OIKB,8112.24,19479.66,189.5,1,0,1,0,,,,,,,,,
VIR121,B748,KSJC,VOMM,8533.38,19505.88,182.9,141,49,51,0,,,,,,,,,
IBE402,B78X,KSMF,OBBI,8481,19565.34,184.7,1,0,1,0,,,,,,,,,
KLM779,A339,KLIT,UKBB,7781.22,19580.22,196.7,105,0,0,0,,,,,,,,,
THY580,B763,KBOI,DAKK,8580.78,19686.48,185.1,0,0,0,0,,,,,,,,,
BAW249,B789,KFLL,OERK,9039.3,19766.04,178.8,5,10,6,0,,,,,,,,,
IBE86,B764,KMCO,LOWW,8402.76,19864.08,191,0,0,0,0,,,,,,,,,
THY30,A339,KBOI,EDDB,8920.98,19878.06,182.6,14,60,21,0,,,,,,,,,
DAL810,B78X,CYQR,OTBD,9288.84,19892.1,176.7,404,0,0,0,,,,,,,,,
IBE947,B772,CYQR,LFLL,9106.26,19917.48,180.2,208,0,0,0,,,,,,,,,
VIR666,A35K,KMKE,OERK,9489.66,19922.88,173.9,49,18,4,0,,,,,,,,,
UAL89,A333,KPHX,EDDM,8679.6,19950.78,187.9,2,8,0,0,,,,,,,,,
THY512,B77L,CYYZ,FLKK,8849.1,19970.52,185.4,9,0,29,0,,,,,,,,,
BAW392,B77W,MMAS,VILK,9729.24,19990.14,171,59,102,60,0,,,,,,,,,
UAL764,B789,KDSM,VEBS,9333.36,20004.12,177.8,160,183,1,0,,,,,,,,,
TSC739,B772,CYYJ,OEAB,9772.26,20038.08,171.1,0,0,0,0,,,,,,,,,
DAL782,A332,KLIT,HKJK,9199.5,20076.96,181.3,18,98,1,0,,,,,,,,,
